EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-3-1,31,28,24,23,16,-1,84,56,28,30.71,30.44,30.14,10,4,0,15,2,20,0.52,7,Fog-Snow,273<br />
2015-3-2,39,33,27,25,18,8,78,55,32,30.38,30.15,30.02,10,8,5,18,8,34,0.00,5,,302<br />
2015-3-3,37,30,22,32,20,7,85,62,39,30.45,30.21,29.82,10,6,0,14,5,24,0.67,5,Rain-Snow,190<br />
2015-3-4,45,40,35,39,35,31,92,81,70,29.93,29.85,29.74,9,5,2,15,6,25,0.25,8,Rain,258<br />
2015-3-5,40,30,19,36,23,3,100,75,49,30.38,30.11,29.89,7,2,0,14,6,20,0.76,8,Fog-Rain-Snow,305<br />
2015-3-6,27,20,12,8,3,-2,61,48,34,30.55,30.45,30.34,10,9,8,14,6,20,0.00,0,,295<br />
2015-3-7,38,28,18,19,11,4,56,47,38,30.33,30.18,30.05,10,10,9,16,5,24,0.00,3,,259<br />
2015-3-8,49,43,37,28,22,18,57,44,31,30.15,30.07,30.02,10,10,8,20,5,30,0.00,4,,276<br />
2015-3-9,54,47,40,30,24,19,53,41,28,30.25,30.16,30.11,10,10,9,16,5,25,0.01,2,Rain,272<br />
2015-3-10,53,46,39,43,36,24,92,67,42,30.31,30.17,29.99,10,5,1,12,4,17,0.46,5,Rain,65<br />
2015-3-11,59,52,44,45,39,17,93,61,29,30.10,29.97,29.91,10,7,1,14,7,22,0.01,4,Rain,287<br />
2015-3-12,47,42,36,22,7,-6,43,27,11,30.60,30.38,30.11,10,10,10,20,8,33,0.00,0,,318<br />
2015-3-13,43,37,31,27,9,-2,59,38,17,30.66,30.55,30.36,10,10,10,13,7,19,0.00,0,,125<br />
2015-3-14,51,46,40,48,41,27,93,73,53,30.34,30.00,29.70,10,5,2,15,6,22,0.81,8,Rain,214<br />
2015-3-15,44,40,36,41,29,22,89,67,45,29.99,29.80,29.70,10,10,8,23,11,41,0.00,7,,295<br />
2015-3-16,52,44,35,31,25,21,59,49,38,30.04,29.93,29.79,10,10,10,13,4,20,0.00,1,,277<br />
2015-3-17,57,46,34,42,27,6,71,49,27,29.93,29.69,29.55,10,10,7,24,10,43,0.02,5,Rain,295<br />
2015-3-18,39,34,29,13,9,7,43,35,27,30.19,30.04,29.94,10,10,10,20,10,35,0.00,3,,316<br />
2015-3-19,43,36,29,11,4,-1,46,32,17,30.34,30.28,30.20,10,10,10,14,6,22,0.00,1,,302<br />
2015-3-20,38,34,29,28,19,1,92,58,23,30.35,30.25,30.13,10,4,0,17,8,22,0.40,6,Fog-Snow,67<br />
2015-3-21,47,38,29,35,28,25,92,75,58,30.15,30.03,29.89,10,5,2,16,5,27,T,7,,308<br />
2015-3-22,43,36,28,29,12,4,57,41,25,30.17,30.04,29.92,10,10,10,18,8,30,0.00,0,,308<br />
2015-3-23,38,31,23,7,4,-2,50,35,19,30.25,30.22,30.17,10,10,10,16,7,27,0.00,0,,306<br />
2015-3-24,45,36,26,18,8,3,42,33,24,30.39,30.32,30.27,10,10,10,13,4,17,0.00,2,,43<br />
2015-3-25,49,42,34,40,26,13,89,57,25,30.41,30.32,30.15,10,9,3,13,4,22,0.05,4,Rain,152<br />
2015-3-26,62,52,42,57,46,38,93,88,82,30.14,29.82,29.60,10,5,1,14,3,23,0.32,8,Rain,142<br />
2015-3-27,46,43,39,41,34,24,89,69,49,29.79,29.75,29.68,10,9,5,12,4,18,0.27,8,Rain,340<br />
2015-3-28,40,33,26,24,20,14,68,56,44,30.12,29.87,29.76,10,9,2,15,8,23,T,8,Snow,339<br />
2015-3-29,46,36,25,18,6,-1,63,40,16,30.28,30.19,30.12,10,10,8,14,6,22,0.00,3,,287<br />
2015-3-30,54,45,36,32,23,11,70,50,30,30.11,29.90,29.77,10,9,2,24,8,44,T,5,Snow,265<br />
2015-3-31,47,41,35,35,30,21,92,65,37,29.90,29.82,29.76,10,8,4,13,5,20,0.17,6,Rain,344<br />
