EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2012-2-1,62,55,48,43,37,31,71,56,41,30.01,29.94,29.87,10,10,7,20,8,28,0.03,3,Rain,247<br />
2012-2-2,50,43,35,33,28,21,65,59,52,30.25,30.10,30.01,10,10,10,16,7,26,0.00,3,,332<br />
2012-2-3,44,37,30,20,18,15,58,46,33,30.45,30.37,30.26,10,10,10,16,7,23,0.00,0,,291<br />
2012-2-4,46,41,35,23,22,21,52,46,40,30.33,30.21,30.12,10,10,10,15,5,20,0.00,2,,283<br />
2012-2-5,40,36,32,21,18,16,61,51,40,30.18,30.15,30.10,10,10,10,10,6,17,0.00,0,,347<br />
2012-2-6,51,42,33,27,23,18,61,48,35,30.16,30.06,29.96,10,10,10,16,8,22,0.00,0,,242<br />
2012-2-7,49,44,38,27,26,22,55,47,39,30.24,30.08,29.96,10,10,10,16,6,22,0.00,1,,275<br />
2012-2-8,38,35,31,30,23,10,92,64,35,30.31,30.17,30.10,10,7,2,13,4,15,0.01,5,Snow,338<br />
2012-2-9,46,39,31,28,22,15,92,62,31,30.14,30.10,30.06,10,9,4,15,7,20,T,1,,275<br />
2012-2-10,45,40,34,30,23,20,76,58,39,30.14,30.05,29.93,10,10,6,15,6,20,0.00,2,,245<br />
2012-2-11,38,35,32,32,28,19,96,74,52,29.90,29.75,29.57,10,5,1,15,6,22,0.08,8,Snow,357<br />
2012-2-12,32,26,20,22,12,-3,58,47,36,29.97,29.84,29.68,10,8,0,23,10,32,T,5,Snow,277<br />
2012-2-13,44,36,28,19,16,12,58,44,30,30.04,29.99,29.94,10,10,10,18,8,28,0.00,1,,256<br />
2012-2-14,47,42,36,36,20,10,70,47,23,30.11,30.06,30.01,10,10,8,20,4,25,0.02,6,Rain,197<br />
2012-2-15,46,43,39,40,36,31,92,77,62,30.28,30.22,30.17,10,8,3,10,4,14,0.01,7,Rain,315<br />
2012-2-16,44,40,36,41,36,29,96,78,60,30.30,30.18,30.03,10,6,3,12,4,18,0.19,6,Rain,135<br />
2012-2-17,50,46,41,43,33,19,96,64,31,30.04,29.99,29.93,10,7,2,16,7,26,0.03,5,Rain,269<br />
2012-2-18,48,42,35,36,24,18,79,56,33,30.09,30.00,29.88,10,10,6,16,7,22,0.02,3,Rain,259<br />
2012-2-19,44,40,35,27,22,18,70,53,36,30.09,30.02,29.94,10,10,10,18,7,23,0.00,0,,21<br />
2012-2-20,46,39,31,20,16,12,58,42,25,,,,10,10,10,17,7,25,0.00,0,,5<br />
2012-2-21,46,39,32,37,26,13,71,55,38,30.30,30.07,29.88,10,10,10,16,7,27,0.00,2,,145<br />
2012-2-22,57,50,43,41,34,26,76,54,32,29.86,29.69,29.49,10,10,8,16,6,24,0.00,3,,213<br />
2012-2-23,58,52,46,42,32,24,80,57,33,29.77,29.55,29.38,10,10,10,21,8,30,0.00,2,,259<br />
2012-2-24,46,41,36,43,37,25,100,71,42,29.73,29.57,29.36,10,5,1,21,8,32,0.60,8,Rain,56<br />
2012-2-25,45,39,33,25,20,6,59,47,35,30.04,29.64,29.43,10,10,10,22,15,41,T,3,,261<br />
2012-2-26,45,37,29,18,12,6,50,39,28,30.44,30.36,30.08,10,10,10,28,9,41,0.00,0,,275<br />
2012-2-27,59,48,36,35,29,17,64,50,35,30.43,30.25,30.09,10,10,10,14,3,22,0.00,2,,207<br />
2012-2-28,50,45,40,32,21,19,48,40,31,30.39,30.33,30.18,10,10,10,21,6,35,0.00,1,,299<br />
2012-2-29,42,40,38,40,34,21,100,73,45,30.36,30.06,29.76,10,5,2,15,4,21,0.37,7,Rain,78<br />
