EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
1996-1-1,42,40,37,31,28,25,76,65,51,29.97,29.93,29.88,10,9,5,12,4,,0.00,8,,77<br />
1996-1-2,39,32,26,32,30,24,96,86,73,29.91,29.82,29.67,10,6,0,17,6,,0.34,8,Fog-Rain-Snow,59<br />
1996-1-3,30,26,19,29,23,17,96,91,84,29.65,29.52,29.41,10,7,2,21,10,,0.27,8,Fog-Rain-Snow,44<br />
1996-1-4,21,16,12,17,9,5,92,68,53,30.17,29.95,29.63,10,10,3,13,8,,0.00,7,Fog-Snow,313<br />
1996-1-5,26,19,10,11,8,-4,74,60,47,30.40,30.22,30.15,10,10,10,17,8,,0.00,5,,304<br />
1996-1-6,18,12,6,2,-3,-6,60,51,36,30.49,30.44,30.38,10,10,7,12,8,,0.00,,,327<br />
1996-1-7,21,16,12,20,10,-1,96,78,54,30.40,30.09,29.55,10,4,0,34,13,,1.28,8,Fog-Snow,57<br />
1996-1-8,23,20,16,21,13,0,96,78,43,29.69,29.50,29.39,10,4,0,30,18,,0.78,8,Fog-Snow,15<br />
1996-1-9,28,22,17,20,11,1,88,61,48,29.84,29.75,29.67,10,10,3,12,7,,0.01,7,Fog-Snow,282<br />
1996-1-10,30,26,21,19,16,13,81,69,58,30.01,29.78,29.66,10,10,10,16,8,,0.00,7,,309<br />
1996-1-11,26,22,17,13,8,5,63,56,44,30.21,30.14,30.03,10,10,10,15,8,,0.00,,,335<br />
1996-1-12,36,30,24,32,24,12,96,83,58,30.13,29.77,29.43,10,7,0,29,10,,0.56,8,Fog-Rain-Snow,76<br />
1996-1-13,35,32,28,30,24,22,92,73,59,29.83,29.62,29.44,10,10,5,14,9,,0.00,7,Fog-Snow,309<br />
1996-1-14,39,34,30,30,27,25,79,72,65,29.96,29.88,29.82,10,10,7,14,8,,0.00,6,,271<br />
1996-1-15,41,31,21,31,19,-4,76,56,33,30.56,30.18,29.85,10,10,10,16,9,,0.00,,,331<br />
1996-1-16,34,25,16,32,15,-5,92,68,33,30.63,30.52,30.30,10,10,4,17,9,,0.00,8,Fog,71<br />
1996-1-17,45,39,33,32,32,31,96,76,60,30.35,30.24,30.17,10,4,0,13,5,,0.00,7,Fog-Rain,274<br />
1996-1-18,48,37,33,47,36,31,100,90,67,30.40,30.30,30.11,10,4,0,8,5,,0.00,8,Fog,85<br />
1996-1-19,55,42,27,54,46,12,100,90,53,30.07,29.71,29.40,10,6,2,21,13,,0.86,8,Fog-Rain,222<br />
1996-1-20,30,26,21,13,10,7,55,50,45,30.50,30.33,30.01,10,10,10,15,10,,0.00,,,329<br />
1996-1-21,32,29,26,30,23,12,92,77,51,30.53,30.47,30.41,10,9,3,12,8,,0.00,8,Fog-Snow,67<br />
1996-1-22,39,34,30,32,29,25,88,80,67,30.48,30.41,30.32,10,9,5,8,5,,0.08,6,,131<br />
1996-1-23,42,38,34,36,32,30,89,80,70,30.30,30.17,29.99,10,9,5,15,9,,0.00,7,Fog-Rain,247<br />
1996-1-24,54,48,41,52,43,31,97,86,62,29.97,29.65,29.41,10,8,3,15,8,,0.42,7,Fog-Rain,205<br />
1996-1-25,42,34,27,30,13,7,65,48,38,30.49,30.16,29.68,10,10,10,18,12,,0.00,6,,322<br />
1996-1-26,43,33,24,33,23,10,73,64,51,30.62,30.56,30.45,10,10,10,12,7,,0.00,6,,149<br />
1996-1-27,54,45,34,51,38,17,96,75,44,30.41,29.96,29.61,10,8,1,22,13,,0.93,8,Fog-Rain,208<br />
1996-1-28,34,31,28,18,11,7,56,43,35,30.45,30.21,29.87,10,10,10,23,15,,0.00,6,,313<br />
1996-1-29,39,33,27,31,21,11,85,64,47,30.47,30.33,30.12,10,10,7,12,7,,0.00,8,Fog-Snow,148<br />
1996-1-30,42,38,34,29,25,17,79,62,40,30.10,30.02,29.89,10,10,7,9,6,,0.00,7,,270<br />
1996-1-31,39,29,19,24,15,4,89,66,41,30.13,29.93,29.83,10,8,1,13,7,,0.02,8,Fog-Snow,14<br />
