EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2011-3-1,46,40,33,22,12,3,52,35,18,30.29,30.19,29.92,10,10,10,16,7,26,0.00,0,,298<br />
2011-3-2,53,39,25,25,17,2,59,41,22,30.39,30.14,29.97,10,10,10,21,11,32,0.00,1,,256<br />
2011-3-3,33,27,20,5,0,-4,47,34,21,30.68,30.61,30.42,10,10,10,15,6,23,0.00,0,,11<br />
2011-3-4,41,34,27,33,18,0,76,53,29,30.72,30.66,30.55,10,10,10,15,8,22,0.00,3,,139<br />
2011-3-5,61,51,41,46,41,34,89,71,53,30.56,30.38,30.17,10,10,7,18,9,29,0.01,7,,159<br />
2011-3-6,54,52,50,52,50,46,96,90,83,30.16,29.87,29.55,10,4,0,18,9,33,2.02,8,Fog-Rain,161<br />
2011-3-7,53,44,34,52,32,17,96,67,37,30.33,29.77,29.44,10,7,1,18,11,31,0.08,5,Rain,277<br />
2011-3-8,48,39,29,25,16,11,54,39,23,30.58,30.50,30.36,10,10,10,13,5,16,0.00,0,,6<br />
2011-3-9,45,40,34,32,28,25,82,68,53,30.63,30.56,30.44,10,10,7,20,11,26,T,4,Rain,81<br />
2011-3-10,53,46,38,52,44,32,96,88,79,30.43,30.06,29.78,10,5,2,23,11,41,1.07,8,Rain,101<br />
2011-3-11,55,48,40,52,44,26,100,73,46,29.84,29.78,29.71,10,6,1,23,9,39,0.91,7,Rain,175<br />
2011-3-12,56,47,38,33,29,22,76,53,30,29.89,29.84,29.78,10,10,10,17,8,23,0.00,3,,240<br />
2011-3-13,53,47,41,35,27,24,61,50,39,30.20,30.02,29.81,10,10,10,21,9,33,0.00,4,,274<br />
2011-3-14,45,41,37,28,26,23,64,53,41,30.43,30.31,30.20,10,10,10,12,5,17,0.00,5,,321<br />
2011-3-15,47,41,34,32,29,23,76,65,53,30.51,30.45,30.37,10,10,9,14,5,18,0.00,4,,112<br />
2011-3-16,57,48,38,43,38,28,96,78,59,30.35,30.12,29.99,10,7,2,17,3,23,0.56,8,Rain,76<br />
2011-3-17,65,55,44,40,34,28,71,49,27,30.22,30.12,30.02,10,10,10,14,6,24,0.00,1,,223<br />
2011-3-18,77,64,51,45,38,27,63,44,25,30.01,29.87,29.78,10,10,10,22,8,33,0.00,1,,241<br />
2011-3-19,59,49,38,34,25,20,50,40,29,30.49,30.23,29.96,10,10,10,18,9,24,0.00,2,,301<br />
2011-3-20,51,43,34,30,19,12,70,47,23,30.65,30.57,30.51,10,10,10,14,6,21,0.00,0,,79<br />
2011-3-21,45,41,36,43,36,29,93,79,64,30.49,30.15,29.88,10,4,2,10,5,22,0.44,7,Rain,171<br />
2011-3-22,50,45,40,39,32,26,100,71,42,30.01,29.92,29.85,10,8,0,16,9,25,T,6,Fog,301<br />
2011-3-23,40,36,32,34,32,26,100,77,53,29.98,29.84,29.60,10,4,1,17,7,23,0.87,8,Rain-Snow,58<br />
2011-3-24,44,37,30,32,25,11,96,63,30,29.91,29.68,29.57,10,7,1,15,6,21,0.09,6,Snow,357<br />
2011-3-25,42,35,28,16,13,7,58,42,25,30.00,29.94,29.88,10,10,10,16,7,22,0.00,0,,286<br />
2011-3-26,40,33,26,12,8,5,55,40,25,30.04,30.01,29.96,10,10,10,16,9,28,0.00,0,,286<br />
2011-3-27,45,37,28,12,9,3,50,36,22,30.02,29.96,29.87,10,10,10,17,9,28,0.00,0,,290<br />
2011-3-28,45,36,26,12,8,4,42,33,24,30.05,29.98,29.90,10,10,10,17,9,29,0.00,0,,284<br />
2011-3-29,49,40,31,22,15,9,48,37,26,30.15,30.08,30.03,10,10,10,16,8,24,0.00,0,,289<br />
2011-3-30,53,45,36,30,24,21,62,46,30,30.21,30.10,29.98,10,10,10,15,5,20,0.01,2,,195<br />
2011-3-31,43,40,37,36,33,30,92,77,62,29.96,29.83,29.63,10,9,5,21,11,28,0.13,8,Rain,63<br />
